"-112.093669	33.523892"
"-112.00143	33.48032"
"-112.134134	33.526829"
"-112.223634	33.422794"
"-112.22306	33.48"
"-112.12789	33.79855"
"-112.12447	33.57409"
"-112.12014	33.61066"
"-112.1162	33.50932"
"-112.09855	33.63992"
"-112.0824	33.45056"
"-112.0735	33.49001"
"-112.06636	33.64051"
"-112.0655	33.46556"
"-112.04725	33.53809"
"-112.0139	33.40723"
"-112.0132	33.57967"
"-112.01238	33.49533"
"-111.99113	33.75444"
"-112.099949	33.468865"
"-112.065794	33.70959"
"-112.14261	33.69839"
"-112.16866	33.37767"
"-112.23651	33.49444"
"-112.22053	33.47707"
"-112.1834	33.48067"
"-112.16933	33.46477"
"-112.13467	33.45065"
"-112.13324	33.65481"
"-112.1332	33.58193"
"-112.12813	33.49482"
"-112.11131	33.48055"
"-112.10712	33.68361"
"-112.09992	33.55294"
"-112.08344	33.50952"
"-112.0816	33.65479"
"-112.0731	33.392"
"-112.0651	33.43026"
"-112.065	33.56509"
"-112.06458	33.60739"
"-112.06175	33.49485"
"-112.056095	33.305883"
"-112.04651	33.50909"
"-112.03102	33.66981"
"-112.03004	33.44962"
"-112.03	33.4869"
"-112.02985	33.64031"
"-112.01297	33.62655"
"-111.99673	33.30496"
"-111.98689	33.5995"
"-111.98604	33.48043"
"-111.981468	33.331117"
"-112.030349	33.37769"
"-112.108639	33.523939"
"-109.913521	34.111267"
"-112.43752	34.54964"
"-112.47889	34.55056"
"-112.33521	34.58464"
"-114.237439	33.661731"
"-111.625183	33.253857"
"-111.564456	33.162619"
"-109.732834	32.832168"
"-109.730581	32.835395"
"-110.980884	31.957162"
"-114.78247	32.48804"
"-111.89476	33.625"
"-111.90139	33.54464"
"-111.88387	33.53857"
"-111.83546	33.58935"
"-111.97653	33.64076"
"-111.94451	33.62572"
"-111.92629	33.48008"
"-111.90913	33.46473"
"-111.90867	33.49477"
"-111.891	33.62888"
"-111.88155	33.58231"
"-111.80161	34.86333"
"-110.01772	34.19895"
"-110.02847	34.252"
"-110.257156	31.560764"
"-110.257378	31.50433"
"-110.27919	31.55448"
"-110.0792	34.50416"
"-110.96833	32.19942"
"-109.2881	34.13535"
"-112.27589	33.63828"
"-111.84312	33.21839"
"-112.356003	33.638844"
"-112.37429	33.65705"
"-112.359039	33.610455"
"-112.414932	33.638649"
"-111.9589	33.40736"
